type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
40, 2016-03-27T06:42:59.464297056,  29.438100,  82.344900, -19211,    0,   5,   0,   1, 2016-03-27T06:42:59.464297056, 2016-03-27T06:42:59.464297056, 0.000000,  29.438100,  82.344900,  29.438100,  82.344900  
40, 2016-03-27T06:56:23.718838930,  29.360500,  81.884900, -105932,    0,   6,   0,   1, 2016-03-27T06:56:23.718838930, 2016-03-27T06:56:23.718838930, 0.000000,  29.360500,  81.884900,  29.360500,  81.884900  
40, 2016-03-27T07:40:32.742559910,  28.725800,  83.594700, -42556,    0,  10,   0,   1, 2016-03-27T07:40:32.742559910, 2016-03-27T07:40:32.742559910, 0.000000,  28.725800,  83.594700,  28.725800,  83.594700  
40, 2016-03-27T07:41:41.537283897,  28.716700,  83.616900, -33548,    0,   7,   0,   1, 2016-03-27T07:41:41.537283897, 2016-03-27T07:41:41.537283897, 0.000000,  28.716700,  83.616900,  28.716700,  83.616900  
40, 2016-03-27T07:59:46.410722971,  28.792000,  83.713400, -48544,    0,  10,   0,   1, 2016-03-27T07:59:46.410722971, 2016-03-27T07:59:46.410722971, 0.000000,  28.792000,  83.713400,  28.792000,  83.713400  
40, 2016-03-27T08:48:25.222527027,  28.006500,  80.574200, -16028,    0,   5,   0,   1, 2016-03-27T08:48:25.222527027, 2016-03-27T08:48:25.222527027, 0.000000,  28.006500,  80.574200,  28.006500,  80.574200  
40, 2016-03-27T09:17:46.282531023,  28.934100,  82.289600, -27641,    0,   8,   0,   1, 2016-03-27T09:17:46.282531023, 2016-03-27T09:17:46.282531023, 0.000000,  28.934100,  82.289600,  28.934100,  82.289600  
40, 2016-03-27T09:18:45.118191957,  28.768100,  82.316600, -17516,    0,   5,   0,   1, 2016-03-27T09:18:45.118191957, 2016-03-27T09:18:45.118191957, 0.000000,  28.768100,  82.316600,  28.768100,  82.316600  
40, 2016-03-27T09:27:19.745398045,  28.390300,  82.830400, -34896,    0,   5,   0,   1, 2016-03-27T09:27:19.745398045, 2016-03-27T09:27:19.745398045, 0.000000,  28.390300,  82.830400,  28.390300,  82.830400  
40, 2016-03-27T09:30:41.386537075,  28.871300,  82.364300, -25415,    0,   5,   0,   1, 2016-03-27T09:30:41.386537075, 2016-03-27T09:30:41.386537075, 0.000000,  28.871300,  82.364300,  28.871300,  82.364300  
40, 2016-03-27T09:31:06.468202114,  28.938700,  82.365900,  38490,    0,   6,   0,   1, 2016-03-27T09:31:06.468202114, 2016-03-27T09:31:06.468202114, 0.000000,  28.938700,  82.365900,  28.938700,  82.365900  
40, 2016-03-27T09:45:59.872134924,  28.889100,  82.506900, -18709,    0,   5,   0,   1, 2016-03-27T09:45:59.872134924, 2016-03-27T09:45:59.872134924, 0.000000,  28.889100,  82.506900,  28.889100,  82.506900  
40, 2016-03-27T09:45:59.961416960,  28.686800,  82.467500, -20092,    0,   5,   0,   1, 2016-03-27T09:45:59.961416960, 2016-03-27T09:45:59.961416960, 0.000000,  28.686800,  82.467500,  28.686800,  82.467500  
40, 2016-03-27T09:57:18.134519100,  28.402800,  83.013300, -15427,    0,   6,   0,   1, 2016-03-27T09:57:18.134519100, 2016-03-27T09:57:18.134519100, 0.000000,  28.402800,  83.013300,  28.402800,  83.013300  
40, 2016-03-27T10:31:09.763297081,  28.329100,  83.507500, -17237,    0,   5,   0,   1, 2016-03-27T10:31:09.763297081, 2016-03-27T10:31:09.763297081, 0.000000,  28.329100,  83.507500,  28.329100,  83.507500  
40, 2016-03-27T10:31:44.685523033,  28.530000,  82.898900, -35251,    0,   5,   0,   1, 2016-03-27T10:31:44.685523033, 2016-03-27T10:31:44.685523033, 0.000000,  28.530000,  82.898900,  28.530000,  82.898900  
