type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 0, 2024-06-09T10:38:47.229913950,  28.266796,  84.138453,  -4546,    0,   5,   1,   1, 2024-06-09T10:38:47.229913950, 2024-06-09T10:38:47.707803965, 0.477890,  28.239415,  28.266796,  84.099405,  84.138453  
 1, 2024-06-09T10:39:10.792003870,  28.318401,  84.086074,  -3913, 16108,   5,   1,   0, 2024-06-09T10:39:10.792003870, 2024-06-09T10:39:10.792003870, 0.000000,  28.318401,  28.318401,  84.086074,  84.086074  
 1, 2024-06-09T10:39:48.749987841,  28.229253,  84.055190,   4085, 6232,   6,   1,   0, 2024-06-09T10:39:48.749987841, 2024-06-09T10:39:48.749987841, 0.000000,  28.229253,  28.229253,  84.055190,  84.055190  
 0, 2024-06-09T10:39:53.972980499,  28.259658,  84.073484,  -5571,    0,   6,   0,   1, 2024-06-09T10:39:53.972980499, 2024-06-09T10:39:53.972980499, 0.000000,  28.259658,  28.259658,  84.073484,  84.073484  
 0, 2024-06-09T10:39:56.828182936,  28.278155,  84.173081,  -5870,    0,   6,   0,   1, 2024-06-09T10:39:56.828182936, 2024-06-09T10:39:56.828182936, 0.000000,  28.278155,  28.278155,  84.173081,  84.173081  
 1, 2024-06-09T10:40:11.270374060,  28.230464,  84.109504,  -4179, 16502,   6,   1,   0, 2024-06-09T10:40:11.270374060, 2024-06-09T10:40:11.270374060, 0.000000,  28.230464,  28.230464,  84.109504,  84.109504  
 0, 2024-06-09T10:40:13.085435390,  28.344968,  84.130511,  -3592,    0,   5,   0,   1, 2024-06-09T10:40:13.085435390, 2024-06-09T10:40:13.085435390, 0.000000,  28.344968,  28.344968,  84.130511,  84.130511  
 1, 2024-06-09T10:40:23.721754074,  28.388288,  84.130497,   3204, 4522,   6,   1,   0, 2024-06-09T10:40:23.721754074, 2024-06-09T10:40:23.721754074, 0.000000,  28.388288,  28.388288,  84.130497,  84.130497  
 0, 2024-06-09T10:40:26.251974344,  28.281091,  83.982674,  -5192,    0,   6,   0,   1, 2024-06-09T10:40:26.251974344, 2024-06-09T10:40:26.251974344, 0.000000,  28.281091,  28.281091,  83.982674,  83.982674  
 0, 2024-06-09T10:40:30.984958172,  28.254617,  84.081560,  -7232,    0,   6,   0,   1, 2024-06-09T10:40:30.984958172, 2024-06-09T10:40:30.984958172, 0.000000,  28.254617,  28.254617,  84.081560,  84.081560  
 0, 2024-06-09T10:40:38.466630459,  28.303708,  84.072382,  45017,    0,  12,   0,   2, 2024-06-09T10:40:38.466630459, 2024-06-09T10:40:38.504042387, 0.037412,  28.303598,  28.303708,  84.072382,  84.073551  
 1, 2024-06-09T10:40:50.857683182,  28.227625,  84.090652,  -4370, 19994,   5,   1,   0, 2024-06-09T10:40:50.857683182, 2024-06-09T10:40:50.857683182, 0.000000,  28.227625,  28.227625,  84.090652,  84.090652  
 1, 2024-06-09T10:40:52.861580372,  28.188250,  84.536548,  17050, 9661,  13,   1,   0, 2024-06-09T10:40:52.861580372, 2024-06-09T10:40:52.861580372, 0.000000,  28.188250,  28.188250,  84.536548,  84.536548  
 1, 2024-06-09T10:40:58.437851191,  28.234816,  84.090281,  -4636, 19272,   5,   1,   0, 2024-06-09T10:40:58.437851191, 2024-06-09T10:40:58.437851191, 0.000000,  28.234816,  28.234816,  84.090281,  84.090281  
 0, 2024-06-09T10:41:08.740111828,  28.281915,  84.078245,  -6062,    0,   5,   0,   1, 2024-06-09T10:41:08.740111828, 2024-06-09T10:41:08.740111828, 0.000000,  28.281915,  28.281915,  84.078245,  84.078245  
 1, 2024-06-09T10:41:19.951631069,  28.230313,  84.089932,  -6178, 3177,   6,   1,   0, 2024-06-09T10:41:19.951631069, 2024-06-09T10:41:19.951631069, 0.000000,  28.230313,  28.230313,  84.089932,  84.089932  
 0, 2024-06-09T10:41:48.367658854,  28.235803,  84.104838,  -6425,    0,   6,   0,   1, 2024-06-09T10:41:48.367658854, 2024-06-09T10:41:48.367658854, 0.000000,  28.235803,  28.235803,  84.104838,  84.104838  
 1, 2024-06-09T10:41:53.308255672,  28.270456,  84.050925,  13088, 5243,   8,   1,   0, 2024-06-09T10:41:53.308255672, 2024-06-09T10:41:53.308255672, 0.000000,  28.270456,  28.270456,  84.050925,  84.050925  
 0, 2024-06-09T10:41:59.866781712,  28.255833,  84.096308,  -4152,    0,   6,   0,   1, 2024-06-09T10:41:59.866781712, 2024-06-09T10:41:59.866781712, 0.000000,  28.255833,  28.255833,  84.096308,  84.096308  
 0, 2024-06-09T10:42:23.283802509,  28.276876,  84.084382,  43287,    0,  14,   0,   1, 2024-06-09T10:42:23.283802509, 2024-06-09T10:42:23.283802509, 0.000000,  28.276876,  28.276876,  84.084382,  84.084382  
 0, 2024-06-09T10:42:43.949429035,  28.295325,  84.103570,  20232,    0,  13,   0,   1, 2024-06-09T10:42:43.949429035, 2024-06-09T10:42:43.949429035, 0.000000,  28.295325,  28.295325,  84.103570,  84.103570  
 0, 2024-06-09T10:43:08.220993280,  28.208220,  84.106262,  -7714,    0,   5,   1,   1, 2024-06-09T10:43:08.191901445, 2024-06-09T10:43:08.220993280, 0.029092,  28.208220,  28.215963,  84.106262,  84.109733  
 0, 2024-06-09T10:43:19.697965384,  28.255191,  84.124611, -10371,    0,   7,   0,   1, 2024-06-09T10:43:19.697965384, 2024-06-09T10:43:19.697965384, 0.000000,  28.255191,  28.255191,  84.124611,  84.124611  
 0, 2024-06-09T10:43:32.153846264,  28.271321,  84.108473, -10416,    0,   8,   0,   1, 2024-06-09T10:43:32.153846264, 2024-06-09T10:43:32.153846264, 0.000000,  28.271321,  28.271321,  84.108473,  84.108473  
 1, 2024-06-09T10:43:35.918158293,  28.233469,  84.139915,   5676, 18673,   5,   1,   0, 2024-06-09T10:43:35.918158293, 2024-06-09T10:43:35.918158293, 0.000000,  28.233469,  28.233469,  84.139915,  84.139915  
 1, 2024-06-09T10:43:48.657169819,  28.306968,  84.094054,  -9609, 5560,   5,   2,   0, 2024-06-09T10:43:48.541194677, 2024-06-09T10:43:48.657169819, 0.115975,  28.251283,  28.306968,  84.094054,  84.105025  
 0, 2024-06-09T10:43:51.784473896,  28.183190,  84.010013,  31114,    0,  15,   0,   1, 2024-06-09T10:43:51.784473896, 2024-06-09T10:43:51.784473896, 0.000000,  28.183190,  28.183190,  84.010013,  84.010013  
 1, 2024-06-09T10:43:56.982708216,  28.258097,  84.097905, -12211, 5133,  10,   1,   0, 2024-06-09T10:43:56.982708216, 2024-06-09T10:43:56.982708216, 0.000000,  28.258097,  28.258097,  84.097905,  84.097905  
 1, 2024-06-09T10:44:01.231568336,  28.243645,  84.083930,   5446, 19118,   5,   1,   0, 2024-06-09T10:44:01.231568336, 2024-06-09T10:44:01.231568336, 0.000000,  28.243645,  28.243645,  84.083930,  84.083930  
 0, 2024-06-09T10:44:17.112427711,  28.266373,  84.138566,  -4610,    0,   6,   1,   1, 2024-06-09T10:44:16.840268850, 2024-06-09T10:44:17.112427711, 0.272159,  28.266373,  28.288061,  84.138566,  84.138658  
 1, 2024-06-09T10:44:21.385832310,  28.293377,  84.077304,  -5226, 5997,   6,   1,   0, 2024-06-09T10:44:21.385832310, 2024-06-09T10:44:21.385832310, 0.000000,  28.293377,  28.293377,  84.077304,  84.077304  
 1, 2024-06-09T10:44:23.425647259,  28.240543,  84.130951,  -4565, 18342,   6,   1,   0, 2024-06-09T10:44:23.425647259, 2024-06-09T10:44:23.425647259, 0.000000,  28.240543,  28.240543,  84.130951,  84.130951  
 0, 2024-06-09T10:44:33.934854269,  28.287982,  84.128422,  -5964,    0,   8,   0,   1, 2024-06-09T10:44:33.934854269, 2024-06-09T10:44:33.934854269, 0.000000,  28.287982,  28.287982,  84.128422,  84.128422  
 1, 2024-06-09T10:44:50.240835428,  28.259518,  84.116432,   4994, 18257,   5,   1,   0, 2024-06-09T10:44:50.240835428, 2024-06-09T10:44:50.240835428, 0.000000,  28.259518,  28.259518,  84.116432,  84.116432  
 1, 2024-06-09T10:44:54.236545801,  28.214779,  84.113703,  -6515, 6267,   6,   1,   0, 2024-06-09T10:44:54.236545801, 2024-06-09T10:44:54.236545801, 0.000000,  28.214779,  28.214779,  84.113703,  84.113703  
 1, 2024-06-09T10:45:20.616773129,  28.270611,  84.180541,  -8953, 19623,   6,   1,   0, 2024-06-09T10:45:20.616773129, 2024-06-09T10:45:20.616773129, 0.000000,  28.270611,  28.270611,  84.180541,  84.180541  
 0, 2024-06-09T10:45:28.422465801,  28.276795,  84.133834,  -9806,    0,   7,   0,   1, 2024-06-09T10:45:28.422465801, 2024-06-09T10:45:28.422465801, 0.000000,  28.276795,  28.276795,  84.133834,  84.133834  
 0, 2024-06-09T10:45:46.500998497,  28.277356,  84.117263,  36947,    0,  11,   0,   1, 2024-06-09T10:45:46.500998497, 2024-06-09T10:45:46.500998497, 0.000000,  28.277356,  28.277356,  84.117263,  84.117263  
 1, 2024-06-09T10:45:55.347249269,  28.175095,  84.149293,   5482, 17740,   6,   1,   0, 2024-06-09T10:45:55.347249269, 2024-06-09T10:45:55.347249269, 0.000000,  28.175095,  28.175095,  84.149293,  84.149293  
 0, 2024-06-09T10:46:07.111118078,  28.242874,  84.176650,  -5932,    0,   6,   0,   1, 2024-06-09T10:46:07.111118078, 2024-06-09T10:46:07.111118078, 0.000000,  28.242874,  28.242874,  84.176650,  84.176650  
 1, 2024-06-09T10:47:24.303732395,  28.264430,  84.169228,  -3665, 12429,   5,   1,   0, 2024-06-09T10:47:24.303732395, 2024-06-09T10:47:24.303732395, 0.000000,  28.264430,  28.264430,  84.169228,  84.169228  
 1, 2024-06-09T10:47:30.036228895,  28.258688,  84.068786,  -8413, 19283,   6,   1,   0, 2024-06-09T10:47:30.036228895, 2024-06-09T10:47:30.036228895, 0.000000,  28.258688,  28.258688,  84.068786,  84.068786  
 1, 2024-06-09T10:47:57.644999504,  28.252948,  84.060935,  -4417, 18395,   6,   1,   0, 2024-06-09T10:47:57.644999504, 2024-06-09T10:47:57.644999504, 0.000000,  28.252948,  28.252948,  84.060935,  84.060935  
 1, 2024-06-09T10:48:02.193905592,  28.283047,  84.123084,  -6101, 15005,   6,   1,   0, 2024-06-09T10:48:02.193905592, 2024-06-09T10:48:02.193905592, 0.000000,  28.283047,  28.283047,  84.123084,  84.123084  
 1, 2024-06-09T10:48:27.117879629,  28.251172,  84.070703,  -5159, 15219,   6,   1,   0, 2024-06-09T10:48:27.117879629, 2024-06-09T10:48:27.117879629, 0.000000,  28.251172,  28.251172,  84.070703,  84.070703  
