type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-06-15T00:00:00.931244135,  26.380343,  87.562590,  -2914, 7137,   6,   1,   0, 2024-06-15T00:00:00.931244135, 2024-06-15T00:00:00.931244135, 0.000000,  26.380343,  26.380343,  87.562590,  87.562590  
 1, 2024-06-15T00:01:35.636383057,  26.360105,  87.624818,  -2842, 8638,   7,   1,   0, 2024-06-15T00:01:35.636383057, 2024-06-15T00:01:35.636383057, 0.000000,  26.360105,  26.360105,  87.624818,  87.624818  
 1, 2024-06-15T00:02:01.608161688,  26.379286,  87.521510,  -5492, 11564,  10,   1,   0, 2024-06-15T00:02:01.608161688, 2024-06-15T00:02:01.608161688, 0.000000,  26.379286,  26.379286,  87.521510,  87.521510  
 1, 2024-06-15T00:02:23.782524347,  26.387450,  87.570772,  -3247, 7406,   8,   1,   0, 2024-06-15T00:02:23.782524347, 2024-06-15T00:02:23.782524347, 0.000000,  26.387450,  26.387450,  87.570772,  87.570772  
 1, 2024-06-15T00:02:51.718326807,  26.388562,  87.745973,  -2128, 17989,   6,   1,   0, 2024-06-15T00:02:51.718326807, 2024-06-15T00:02:51.718326807, 0.000000,  26.388562,  26.388562,  87.745973,  87.745973  
 1, 2024-06-15T00:08:07.511098862,  26.468594,  87.773639,  -5070, 3000,   7,   2,   0, 2024-06-15T00:08:07.278842688, 2024-06-15T00:08:07.511098862, 0.232256,  26.383000,  26.468594,  87.767804,  87.773639  
 1, 2024-06-15T00:09:10.443893671,  26.348732,  87.458307,  -6981, 17591,  12,   2,   0, 2024-06-15T00:09:10.443893671, 2024-06-15T00:09:10.684625864, 0.240732,  26.307233,  26.348732,  87.383840,  87.458307  
 1, 2024-06-15T00:09:27.402584553,  26.395135,  87.819891,   6221, 9783,   6,   1,   0, 2024-06-15T00:09:27.402584553, 2024-06-15T00:09:27.402584553, 0.000000,  26.395135,  26.395135,  87.819891,  87.819891  
 1, 2024-06-15T00:10:06.936981440,  26.378171,  87.809782,   3645, 9258,   5,   2,   0, 2024-06-15T00:10:06.936981440, 2024-06-15T00:10:07.008612871, 0.071631,  26.378171,  26.386858,  87.796250,  87.809782  
 1, 2024-06-15T00:10:12.951947451,  26.478024,  88.032625,  -2388, 19987,   5,   1,   0, 2024-06-15T00:10:12.951947451, 2024-06-15T00:10:12.951947451, 0.000000,  26.478024,  26.478024,  88.032625,  88.032625  
 1, 2024-06-15T00:10:39.939191818,  26.449615,  87.857119,  -5772, 19044,   6,   1,   0, 2024-06-15T00:10:39.939191818, 2024-06-15T00:10:39.939191818, 0.000000,  26.449615,  26.449615,  87.857119,  87.857119  
 1, 2024-06-15T00:11:18.127311945,  26.368032,  87.842367,   7812, 9673,   9,   1,   0, 2024-06-15T00:11:18.127311945, 2024-06-15T00:11:18.127311945, 0.000000,  26.368032,  26.368032,  87.842367,  87.842367  
 1, 2024-06-15T00:12:01.918287992,  26.366648,  87.816973,   4403, 8115,   6,   2,   0, 2024-06-15T00:12:01.918287992, 2024-06-15T00:12:01.941390991, 0.023103,  26.356251,  26.366648,  87.811737,  87.816973  
 1, 2024-06-15T00:12:41.585761786,  26.384152,  87.835729,   5200, 6551,   6,   4,   0, 2024-06-15T00:12:41.375955343, 2024-06-15T00:12:41.598256588, 0.222301,  26.384152,  26.401366,  87.831186,  87.855192  
 1, 2024-06-15T00:13:34.719661951,  26.388536,  87.832432,  -5060, 11456,   6,   2,   0, 2024-06-15T00:13:34.420885086, 2024-06-15T00:13:34.719661951, 0.298777,  26.374787,  26.388536,  87.832432,  87.838091  
 1, 2024-06-15T00:14:03.917841911,  26.414012,  87.848774,  -7114, 9208,  10,   3,   0, 2024-06-15T00:14:03.676663399, 2024-06-15T00:14:03.926190615, 0.249527,  26.380692,  26.414012,  87.806088,  87.848774  
 1, 2024-06-15T00:14:12.138681650,  26.358811,  87.838024,   8445, 9464,   9,   3,   0, 2024-06-15T00:14:12.108516693, 2024-06-15T00:14:12.167891741, 0.059375,  26.337246,  26.388136,  87.838024,  87.870826  
 1, 2024-06-15T00:14:54.493170977,  26.397647,  87.831986,   4060, 8082,   7,   3,   0, 2024-06-15T00:14:54.493170977, 2024-06-15T00:14:54.517319441, 0.024148,  26.369763,  26.397647,  87.815890,  87.833190  
 0, 2024-06-15T00:15:52.303137779,  26.358852,  87.844513,  11748,    0,  11,   6,   1, 2024-06-15T00:15:52.241962433, 2024-06-15T00:15:52.561897993, 0.319936,  26.308915,  26.367665,  87.753399,  87.856843  
 1, 2024-06-15T00:15:57.825086594,  26.377407,  87.873378,   3561, 3011,   5,   1,   0, 2024-06-15T00:15:57.825086594, 2024-06-15T00:15:57.825086594, 0.000000,  26.377407,  26.377407,  87.873378,  87.873378  
 1, 2024-06-15T00:16:43.371595621,  26.360405,  87.817110,   4582, 9556,   5,   1,   0, 2024-06-15T00:16:43.371595621, 2024-06-15T00:16:43.371595621, 0.000000,  26.360405,  26.360405,  87.817110,  87.817110  
 1, 2024-06-15T00:17:34.351736784,  26.375347,  87.865760,   3784, 4866,   6,   1,   0, 2024-06-15T00:17:34.351736784, 2024-06-15T00:17:34.351736784, 0.000000,  26.375347,  26.375347,  87.865760,  87.865760  
 1, 2024-06-15T00:17:50.667763233,  26.387725,  87.915359,   3992, 7914,   6,   2,   0, 2024-06-15T00:17:50.667763233, 2024-06-15T00:17:50.849916220, 0.182153,  26.363947,  26.387725,  87.892215,  87.915359  
 1, 2024-06-15T00:19:12.642030954,  26.380718,  87.853136,   9289, 6737,  12,   8,   0, 2024-06-15T00:19:12.604289293, 2024-06-15T00:19:12.911073685, 0.306784,  26.328496,  26.397327,  87.816396,  87.871986  
 1, 2024-06-15T00:19:27.023007154,  26.382797,  87.921205,   4071, 8353,   8,   1,   0, 2024-06-15T00:19:27.023007154, 2024-06-15T00:19:27.023007154, 0.000000,  26.382797,  26.382797,  87.921205,  87.921205  
 1, 2024-06-15T00:19:49.363877296,  26.380264,  87.816068,   3656, 9687,   5,   4,   0, 2024-06-15T00:19:49.363877296, 2024-06-15T00:19:49.550330877, 0.186454,  26.375261,  26.380264,  87.813328,  87.817842  
 1, 2024-06-15T00:22:32.867844820,  26.429172,  87.925450,  -3110, 7505,   6,   1,   0, 2024-06-15T00:22:32.867844820, 2024-06-15T00:22:32.867844820, 0.000000,  26.429172,  26.429172,  87.925450,  87.925450  
 1, 2024-06-15T00:23:47.748285294,  26.402555,  87.935617,   3539, 3936,   7,   1,   0, 2024-06-15T00:23:47.748285294, 2024-06-15T00:23:47.748285294, 0.000000,  26.402555,  26.402555,  87.935617,  87.935617  
 1, 2024-06-15T00:24:37.992657423,  26.391338,  87.876151,  -6343, 11116,   8,   4,   0, 2024-06-15T00:24:37.890353918, 2024-06-15T00:24:37.992657423, 0.102304,  26.363694,  26.391338,  87.840631,  87.876151  
 1, 2024-06-15T00:24:52.830458879,  26.373684,  87.893661,   3880, 7391,   6,   1,   0, 2024-06-15T00:24:52.830458879, 2024-06-15T00:24:52.830458879, 0.000000,  26.373684,  26.373684,  87.893661,  87.893661  
 1, 2024-06-15T00:26:04.868995428,  26.373509,  87.929854,   5947, 8777,   7,   2,   0, 2024-06-15T00:26:04.708237410, 2024-06-15T00:26:04.868995428, 0.160758,  26.373509,  26.410938,  87.929854,  87.954662  
 1, 2024-06-15T00:26:23.814516544,  26.384589,  87.892474,   3458, 3226,   6,   1,   0, 2024-06-15T00:26:23.814516544, 2024-06-15T00:26:23.814516544, 0.000000,  26.384589,  26.384589,  87.892474,  87.892474  
 1, 2024-06-15T00:27:23.222294569,  26.417319,  87.955861,   7480, 11994,   5,   4,   0, 2024-06-15T00:27:23.222294569, 2024-06-15T00:27:23.438133478, 0.215839,  26.410142,  26.427512,  87.944591,  88.010521  
 1, 2024-06-15T00:27:24.465090036,  26.350977,  87.984379,   3962, 9713,   6,   1,   0, 2024-06-15T00:27:24.465090036, 2024-06-15T00:27:24.465090036, 0.000000,  26.350977,  26.350977,  87.984379,  87.984379  
 0, 2024-06-15T00:29:23.265481234,  26.401694,  87.898800, -16165,    0,  12,   2,   1, 2024-06-15T00:29:23.211628437, 2024-06-15T00:29:23.276973724, 0.065345,  26.384769,  26.426002,  87.898800,  87.982927  
 1, 2024-06-15T00:30:22.347178459,  26.420162,  87.966802,   5846, 17443,   7,   1,   0, 2024-06-15T00:30:22.347178459, 2024-06-15T00:30:22.347178459, 0.000000,  26.420162,  26.420162,  87.966802,  87.966802  
 1, 2024-06-15T00:32:01.344610214,  26.347730,  87.966403,   2414, 13001,   5,   1,   0, 2024-06-15T00:32:01.344610214, 2024-06-15T00:32:01.344610214, 0.000000,  26.347730,  26.347730,  87.966403,  87.966403  
 0, 2024-06-15T00:33:20.763726711,  26.357348,  88.019147, -10369,    0,  10,   0,   1, 2024-06-15T00:33:20.763726711, 2024-06-15T00:33:20.763726711, 0.000000,  26.357348,  26.357348,  88.019147,  88.019147  
 1, 2024-06-15T00:34:41.376734972,  26.385332,  88.074261,  -2548, 17284,   6,   1,   0, 2024-06-15T00:34:41.376734972, 2024-06-15T00:34:41.376734972, 0.000000,  26.385332,  26.385332,  88.074261,  88.074261  
 1, 2024-06-15T00:36:06.851127148,  26.459256,  88.069405,   5581, 11675,   6,   1,   0, 2024-06-15T00:36:06.851127148, 2024-06-15T00:36:06.851127148, 0.000000,  26.459256,  26.459256,  88.069405,  88.069405  
 1, 2024-06-15T00:38:31.906071424,  26.434019,  88.082127,   2750, 12973,   5,   1,   0, 2024-06-15T00:38:31.906071424, 2024-06-15T00:38:31.906071424, 0.000000,  26.434019,  26.434019,  88.082127,  88.082127  
 1, 2024-06-15T00:39:39.538636923,  26.428390,  88.063153,   3216, 10461,   5,   1,   0, 2024-06-15T00:39:39.538636923, 2024-06-15T00:39:39.538636923, 0.000000,  26.428390,  26.428390,  88.063153,  88.063153  
 1, 2024-06-15T00:39:52.037528515,  26.425949,  88.111894,   7646, 9199,   7,   3,   0, 2024-06-15T00:39:52.037528515, 2024-06-15T00:39:52.207353830, 0.169825,  26.405770,  26.425949,  88.111894,  88.136895  
 0, 2024-06-15T00:40:36.887996435,  26.436640,  88.109959,  -6191,    0,   7,   0,   1, 2024-06-15T00:40:36.887996435, 2024-06-15T00:40:36.887996435, 0.000000,  26.436640,  26.436640,  88.109959,  88.109959  
 0, 2024-06-15T00:40:47.972205400,  26.424446,  88.116639,  -9905,    0,  10,   2,   2, 2024-06-15T00:40:47.706405640, 2024-06-15T00:40:47.972205400, 0.265800,  26.365165,  26.425559,  88.080848,  88.116639  
 0, 2024-06-15T00:41:07.799593210,  26.413198,  88.112231, -10182,    0,   8,   0,   1, 2024-06-15T00:41:07.799593210, 2024-06-15T00:41:07.799593210, 0.000000,  26.413198,  26.413198,  88.112231,  88.112231  
 1, 2024-06-15T00:41:12.875815868,  26.414505,  88.099220,   2513, 11406,   5,   1,   0, 2024-06-15T00:41:12.875815868, 2024-06-15T00:41:12.875815868, 0.000000,  26.414505,  26.414505,  88.099220,  88.099220  
 1, 2024-06-15T00:41:34.057134151,  26.431475,  88.100875,  10072, 8512,   8,   1,   0, 2024-06-15T00:41:34.057134151, 2024-06-15T00:41:34.057134151, 0.000000,  26.431475,  26.431475,  88.100875,  88.100875  
 1, 2024-06-15T00:43:13.191266060,  26.347592,  88.001721,  -3431, 9933,   6,   1,   0, 2024-06-15T00:43:13.191266060, 2024-06-15T00:43:13.191266060, 0.000000,  26.347592,  26.347592,  88.001721,  88.001721  
 1, 2024-06-15T00:44:16.769249916,  26.361980,  87.936110,  -4018, 14905,   7,   1,   0, 2024-06-15T00:44:16.769249916, 2024-06-15T00:44:16.769249916, 0.000000,  26.361980,  26.361980,  87.936110,  87.936110  
 0, 2024-06-15T00:45:05.295897245,  27.450246,  88.025347, -24861,    0,  10,   1,   1, 2024-06-15T00:45:05.295897245, 2024-06-15T00:45:05.332477331, 0.036580,  27.442745,  27.450246,  88.013180,  88.025347  
 0, 2024-06-15T00:48:57.416555882,  27.471330,  87.965808, -55550,    0,  11,   3,   3, 2024-06-15T00:48:57.416555882, 2024-06-15T00:48:57.722954750, 0.306399,  27.411326,  27.476260,  87.896094,  87.965808  
 1, 2024-06-15T00:51:04.003309250,  26.483659,  88.059397,   7076, 3000,   8,   6,   0, 2024-06-15T00:51:03.231691837, 2024-06-15T00:51:04.114692450, 0.883001,  26.408135,  26.483659,  88.059397,  88.211775  
 0, 2024-06-15T00:51:14.784217119,  27.491952,  87.935371, -25323,    0,  16,   0,   1, 2024-06-15T00:51:14.784217119, 2024-06-15T00:51:14.784217119, 0.000000,  27.491952,  27.491952,  87.935371,  87.935371  
