type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 0, 2024-05-05T05:47:27.500233173,  30.409634,  86.002691,  21454,    0,  11,   0,   1, 2024-05-05T05:47:27.500233173, 2024-05-05T05:47:27.500233173, 0.000000,  30.409634,  30.409634,  86.002691,  86.002691  
 0, 2024-05-05T07:09:30.006463766,  28.201690,  86.422656, -21982,    0,  10,   0,   2, 2024-05-05T07:09:30.005775213, 2024-05-05T07:09:30.006463766, 0.000689,  28.201690,  28.233426,  86.421908,  86.422656  
 0, 2024-05-05T07:55:05.472002268,  28.414613,  85.167641, -15224,    0,   9,   2,   1, 2024-05-05T07:55:05.471587181, 2024-05-05T07:55:05.472839355, 0.001252,  28.414613,  28.460689,  85.167641,  85.208244  
 0, 2024-05-05T08:04:22.007186890,  28.342397,  85.219905, -19761,    0,  10,   0,   1, 2024-05-05T08:04:22.007186890, 2024-05-05T08:04:22.007186890, 0.000000,  28.342397,  28.342397,  85.219905,  85.219905  
 0, 2024-05-05T08:04:39.901203871,  28.121152,  86.357430, -17306,    0,   9,   0,   1, 2024-05-05T08:04:39.901203871, 2024-05-05T08:04:39.901203871, 0.000000,  28.121152,  28.121152,  86.357430,  86.357430  
 0, 2024-05-05T08:10:37.854944468,  28.453167,  85.232105,  -9273,    0,   8,   0,   1, 2024-05-05T08:10:37.854944468, 2024-05-05T08:10:37.854944468, 0.000000,  28.453167,  28.453167,  85.232105,  85.232105  
 0, 2024-05-05T08:10:37.854487181,  28.361139,  85.195032, -15122,    0,   9,   0,   1, 2024-05-05T08:10:37.854487181, 2024-05-05T08:10:37.854487181, 0.000000,  28.361139,  28.361139,  85.195032,  85.195032  
 0, 2024-05-05T08:13:55.796262264,  28.391710,  85.243418, -23013,    0,  12,   0,   1, 2024-05-05T08:13:55.796262264, 2024-05-05T08:13:55.796262264, 0.000000,  28.391710,  28.391710,  85.243418,  85.243418  
 0, 2024-05-05T08:30:04.210393190,  28.083799,  86.298332,  -5435,    0,   7,   0,   1, 2024-05-05T08:30:04.210393190, 2024-05-05T08:30:04.210393190, 0.000000,  28.083799,  28.083799,  86.298332,  86.298332  
 0, 2024-05-05T08:41:44.289252281,  30.191504,  85.831238, -18143,    0,  12,   1,   1, 2024-05-05T08:41:44.289252281, 2024-05-05T08:41:44.310589790, 0.021338,  30.158847,  30.191504,  85.831238,  85.853747  
 1, 2024-05-05T09:51:34.894579411,  26.901825,  87.806388,  -6441, 4333,   6,   1,   0, 2024-05-05T09:51:34.894579411, 2024-05-05T09:51:34.894579411, 0.000000,  26.901825,  26.901825,  87.806388,  87.806388  
 1, 2024-05-05T09:53:28.782385349,  26.893831,  87.825019,   6152, 10564,   7,   1,   0, 2024-05-05T09:53:28.782385349, 2024-05-05T09:53:28.782385349, 0.000000,  26.893831,  26.893831,  87.825019,  87.825019  
 1, 2024-05-05T09:54:45.089156866,  26.843916,  87.847017,   5183, 11717,   6,   1,   0, 2024-05-05T09:54:45.089156866, 2024-05-05T09:54:45.089156866, 0.000000,  26.843916,  26.843916,  87.847017,  87.847017  
 0, 2024-05-05T09:59:40.434567451,  26.909365,  87.737244,  -6571,    0,   8,   0,   1, 2024-05-05T09:59:40.434567451, 2024-05-05T09:59:40.434567451, 0.000000,  26.909365,  26.909365,  87.737244,  87.737244  
 1, 2024-05-05T10:00:50.129428148,  26.890192,  87.745774,  -4588, 5714,   6,   1,   0, 2024-05-05T10:00:50.129428148, 2024-05-05T10:00:50.129428148, 0.000000,  26.890192,  26.890192,  87.745774,  87.745774  
 1, 2024-05-05T10:00:55.472828865,  26.887523,  87.888623,   5065, 4505,   5,   2,   0, 2024-05-05T10:00:55.472828865, 2024-05-05T10:00:55.489980698, 0.017152,  26.887523,  26.889713,  87.883055,  87.888623  
